Country,iso3,Continent Code,Percent,Millions,Continent Name
Albania,ALB,EU,11.1,0.3,Europe
Algeria,DZA,AF,8.8,2.9,Africa
Angola,AGO,AF,32.1,5.8,Africa
Argentina,ARG,SA,4.7,1.9,South America
Armenia,ARM,AS,8.0,0.2,Asia
Azerbaijan,AZE,AS,5.7,0.5,Asia
Bangladesh,BGD,AS,16.6,23.7,Asia
Belarus,BLR,EU,3.0,0.3,Europe
Benin,BEN,AF,15.4,1.3,Africa
Bolivia (Plurinational State of),BOL,SA,30.3,2.8,South America
Bosnia and Herzegovina,BIH,EU,3.4,0.1,Europe
Botswana,BWA,AF,32.0,0.6,Africa
Brazil,BRA,SA,4.5,8.6,South America
Bulgaria,BGR,EU,6.5,0.5,Europe
Burkina Faso,BFA,AF,24.9,3.3,Africa
Cambodia,KHM,AS,20.0,2.7,Asia
Cameroon,CMR,AF,20.2,3.7,Africa
Central African Republic,CAF,AF,39.9,1.6,Africa
Chad,TCD,AF,39.2,3.9,Africa
Chile,CHL,SA,4.0,0.6,South America
China,CHN,AS,15.3,204.3,Asia
Colombia,COL,SA,9.7,4.2,South America
Congo,COD,AF,33.4,1.2,Africa
Congo,COG,AF,33.4,1.2,Africa
Costa Rica,CRI,NA,5.4,0.2,North America
Ivory Coast,CIV,AF,16.2,2.9,Africa
Croatia,HRV,EU,2.9,0.1,Europe
North Korea,PRK,AS,35.4,8.4,Asia
Djibouti,DJI,AF,32.5,0.3,Africa
Dominican Republic,DOM,NA,24.4,2.3,North America
Ecuador,ECU,SA,17.0,2.3,South America
Egypt,EGY,AF,5.4,4.1,Africa
El Salvador,SLV,NA,10.7,0.6,North America
Ethiopia,ETH,AF,39.7,30.4,Africa
Gabon,GAB,AF,9.7,0.1,Africa
Gambia,GMB,AF,15.1,0.2,Africa
Georgia,GEO,AS,7.4,0.3,Asia
Ghana,GHA,AF,9.3,2.0,Africa
Guatemala,GTM,NA,16.0,2.1,North America
Guinea,GIN,AF,21.4,2.1,Africa
Guinea-Bissau,GNB,AF,24.9,0.4,Africa
Haiti,HTI,NA,57.1,5.3,North America
Honduras,HND,NA,17.2,1.2,North America
India,IND,AS,20.5,234.9,Asia
Indonesia,IDN,AS,18.6,42.1,Asia
Iran,IRN,AS,6.1,4.3,Asia
Iraq,IRQ,AS,28.2,7.6,Asia
Jamaica,JAM,NA,6.9,0.2,North America
Jordan,JOR,AS,3.4,0.2,Asia
Kazakhstan,KAZ,AS,5.8,0.9,Asia
Kenya,KEN,AF,28.7,10.2,Africa
Kyrgyzstan,KGZ,AS,9.7,0.5,Asia
Laos,LAO,AS,26.8,1.5,Asia
Lebanon,LBN,AS,3.5,0.1,Asia
Lesotho,LSO,AF,11.7,0.2,Africa
Liberia,LBR,AF,39.4,1.3,Africa
Madagascar,MDG,AF,35.1,6.4,Africa
Malawi,MWI,AF,26.2,3.3,Africa
Malaysia,MYS,AS,3.9,1.0,Asia
Mali,MLI,AF,11.2,1.4,Africa
Mauritania,MRT,AF,12.2,0.4,Africa
Mexico,MEX,NA,5.5,6.1,North America
Mongolia,MNG,AS,31.0,0.8,Asia
Morocco,MAR,AF,5.8,1.8,Africa
Mozambique,MOZ,AF,37.0,7.8,Africa
Myanmar,MMR,AS,32.1,16.1,Asia
Namibia,NAM,AF,25.2,0.5,Africa
Nepal,NPL,AS,15.9,4.1,Asia
Nicaragua,NIC,NA,24.4,1.3,North America
Niger,NER,AF,15.2,2.1,Africa
Nigeria,NGA,AF,6.6,9.2,Africa
Oman,OMN,AS,10.0,0.3,Asia
Pakistan,PAK,AS,23.3,35.7,Asia
Panama,PAN,NA,23.1,0.8,North America
Paraguay,PRY,SA,11.9,0.7,South America
Peru,PER,SA,19.6,5.4,South America
Philippines,PHL,AS,16.3,14.1,Asia
Moldova,MDA,EU,24.2,1.0,Europe
Rwanda,RWA,AF,44.5,4.0,Africa
Saudi Arabia,SAU,AS,8.0,2.0,Asia
Senegal,SEN,AF,21.3,2.4,Africa
Sierra Leone,SLE,AF,37.2,1.9,Africa
Slovakia,SVK,EU,6.2,0.3,Europe
South Africa,ZAF,AF,4.2,2.0,Africa
Sri Lanka,LKA,AS,29.4,5.7,Asia
Swaziland,SWZ,AF,17.3,0.2,Africa
Tajikistan,TJK,AS,41.5,2.8,Asia
Thailand,THA,AS,12.3,8.1,Asia
Macedonia,MKD,EU,6.1,0.1,Europe
East Timor,TLS,AS,31.9,0.3,Asia
Togo,TGO,AF,25.6,1.4,Africa
Trinidad and Tobago,TTO,NA,11.8,0.2,North America
Tunisia,TUN,AF,5.6,0.6,Africa
Turkmenistan,TKM,AS,4.8,0.2,Asia
Uganda,UGA,AF,24.3,6.8,Africa
United Arab Emirates,ARE,AS,4.2,0.2,Asia
Tanzania,TZA,AF,34.6,13.5,Africa
Uruguay,URY,SA,4.3,0.1,South America
Uzbekistan,UZB,AS,14.5,3.8,Asia
Venezuela,VEN,SA,10.5,2.8,South America
Vietnam,VNM,AS,18.2,15.3,Asia
Yemen,YEM,AS,30.1,6.2,Asia
Zambia,ZMB,AF,51.3,6.2,Africa
Zimbabwe,ZWE,AF,40.0,5.2,Africa
